wavelength (nm),fluorescence (arb. units)
928.698,12941.325
928.858,13047.465
929.017,13602.3
929.177,13760.475
929.336,14094.78
929.496,13885.305
929.655,14151.495
929.815,13679.385
929.974,13426.125
930.134,12834.72
930.293,12876.705
930.453,12723.825
930.612,12531.93
930.772,11987.43
930.931,11638.71
931.091,11405.085
931.25,11502.465
931.41,11165.415
931.569,11014.56
931.729,10733.145
931.888,10965.075
932.048,11011.11
932.207,11091.315
932.367,10548.9
932.526,10432.245
932.686,10120.905
932.845,9868.995
933.005,9906.72
933.164,9755.4
933.323,9405.225
933.483,9282.765
933.642,9008.235
933.802,8959.8
933.961,8705.055
934.121,8392.515
934.28,8060.685
934.44,8063.295
934.599,8001.87
934.759,8052.735
934.918,7803.735
935.077,7815.45
935.237,7612.38
935.396,7362.105
935.556,7024.485
935.715,6983.835
935.875,6894.255
936.034,6713.805
936.193,6417.165
936.353,6330.6
936.512,6122.67
936.672,5948.64
936.831,5852.79
936.99,6187.44
937.15,6069.675
937.309,5813.565
937.469,5250.45
937.628,5005.38
937.788,4755.255
937.947,4606.395
938.106,4502.4
938.266,4726.71
938.425,4703.85
938.584,4673.205
938.744,4524.87
938.903,4451.685
939.063,4367.895
939.222,4304.79
939.381,4053.945
939.541,3817.005
939.7,3633.24
939.859,3574.47
940.019,3478.5
940.178,3433.2
940.338,3285.195
940.497,3370.965
940.656,3311.715
940.816,3417.03
940.975,3344.82
941.134,3300.99
941.294,3120.33
941.453,3096.93
941.612,3023.865
941.772,2904.18
941.931,2675.865
942.09,2614.935
942.25,2490.975
942.409,2410.44
942.568,2284.38
942.728,2263.635
942.887,2241.795
943.046,2264.97
943.206,2186.505
943.365,2178.06
943.524,2097.465
943.684,2061.165
943.843,1949.97
944.002,1897.86
944.161,1792.56
944.321,1745.295
944.48,1737.24
944.639,1804.005
944.799,1770.12
944.958,1702.08
945.117,1573.8
945.277,1549.68
945.436,1509.045
945.595,1537.53
945.754,1521.06
945.914,1569.78
946.073,1545.45
946.232,1527.345
946.391,1459.755
946.551,1421.355
946.71,1344.315
946.869,1326.81
947.028,1249.065
947.188,1223.1
947.347,1194.495
947.506,1205.145
947.666,1174.395
947.825,1158.345
947.984,1118.16
948.143,1105.23
948.302,1052.775
948.462,1065.345
948.621,1028.67
948.78,1023.615
948.939,989.67
949.099,994.08
949.258,972.78
949.417,960.99
949.576,895.2
949.736,885.96
949.895,856.05
950.054,846.21
950.213,820.32
950.372,827.73
950.532,811.065
950.691,820.77
950.85,789.81
951.009,798.945
951.168,775.08
951.328,779.145
951.487,746.085
951.646,730.71
951.805,700.815
951.964,691.56
952.124,652.89
952.283,640.005
952.442,613.68
952.601,619.65
952.76,601.455
952.919,609.075
953.079,591.555
953.238,590.88
953.397,559.32
953.556,554.625
953.715,545.94
953.874,550.32
954.034,516.825
954.193,515.205
954.352,503.895
954.511,502.32
954.67,489.3
954.829,494.34
954.988,480.945
955.148,476.55
955.307,453.6
955.466,457.26
955.625,438.975
955.784,440.925
955.943,432.225
956.102,426.99
956.261,412.23
956.421,412.455
956.58,397.095
956.739,402.18
956.898,390.18
957.057,396.96
957.216,378.96
957.375,381.735
957.534,363.945
957.693,365.235
957.853,350.655
958.012,348
958.171,343.815
958.33,339.885
958.489,335.415
958.648,335.175
958.807,326.475
958.966,328.56
959.125,313.935
959.284,317.7
959.443,309.105
959.602,308.28
959.762,301.095
959.921,301.965
960.08,294.555
960.239,287.775
960.398,274.44
960.557,281.295
960.716,273.75
960.875,274.605
961.034,263.145
961.193,267.24
961.352,262.065
